"Energy Prices by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-AEO2012&region=1-1&cases=ref2012&start=2009&end=2035&f=A&linechart=ref2012-d020112c.3-3-AEO2012.1-1~ref2012-d020112c.4-3-AEO2012.1-1~ref2012-d020112c.5-3-AEO2012.1-1~ref2012-d020112c.6-3-AEO2012.1-1~ref2012-d020112c.9-3-AEO2012.1-1~ref2012-d020112c.10-3-AEO2012.1-1~ref2012-d020112c.11-3-AEO2012.1-1~ref2012-d020112c.12-3-AEO2012.1-1~ref2012-d020112c.13-3-AEO2012.1-1~ref2012-d020112c.16-3-AEO2012.1-1~ref2012-d020112c.17-3-AEO2012.1-1~ref2012-d020112c.18-3-AEO2012.1-1~ref2012-d020112c.19-3-AEO2012.1-1~ref2012-d020112c.20-3-AEO2012.1-1~ref2012-d020112c.21-3-AEO2012.1-1~ref2012-d020112c.22-3-AEO2012.1-1~ref2012-d020112c.23-3-AEO2012.1-1~ref2012-d020112c.27-3-AEO2012.1-1~ref2012-d020112c.28-3-AEO2012.1-1~ref2012-d020112c.29-3-AEO2012.1-1~ref2012-d020112c.30-3-AEO2012.1-1~ref2012-d020112c.31-3-AEO2012.1-1~ref2012-d020112c.32-3-AEO2012.1-1~ref2012-d020112c.33-3-AEO2012.1-1~ref2012-d020112c.34-3-AEO2012.1-1~ref2012-d020112c.37-3-AEO2012.1-1~ref2012-d020112c.38-3-AEO2012.1-1~ref2012-d020112c.39-3-AEO2012.1-1~ref2012-d020112c.40-3-AEO2012.1-1~ref2012-d020112c.45-3-AEO2012.1-1~ref2012-d020112c.46-3-AEO2012.1-1~ref2012-d020112c.47-3-AEO2012.1-1~ref2012-d020112c.48-3-AEO2012.1-1~ref2012-d020112c.49-3-AEO2012.1-1~ref2012-d020112c.50-3-AEO2012.1-1~ref2012-d020112c.51-3-AEO2012.1-1~ref2012-d020112c.52-3-AEO2012.1-1~ref2012-d020112c.53-3-AEO2012.1-1~ref2012-d020112c.54-3-AEO2012.1-1~ref2012-d020112c.55-3-AEO2012.1-1~ref2012-d020112c.70-3-AEO2012.1-1~ref2012-d020112c.71-3-AEO2012.1-1~ref2012-d020112c.72-3-AEO2012.1-1~ref2012-d020112c.73-3-AEO2012.1-1~ref2012-d020112c.76-3-AEO2012.1-1~ref2012-d020112c.77-3-AEO2012.1-1~ref2012-d020112c.78-3-AEO2012.1-1~ref2012-d020112c.79-3-AEO2012.1-1~ref2012-d020112c.80-3-AEO2012.1-1~ref2012-d020112c.83-3-AEO2012.1-1~ref2012-d020112c.84-3-AEO2012.1-1~ref2012-d020112c.85-3-AEO2012.1-1~ref2012-d020112c.86-3-AEO2012.1-1~ref2012-d020112c.87-3-AEO2012.1-1~ref2012-d020112c.88-3-AEO2012.1-1~ref2012-d020112c.89-3-AEO2012.1-1~ref2012-d020112c.90-3-AEO2012.1-1~ref2012-d020112c.95-3-AEO2012.1-1~ref2012-d020112c.96-3-AEO2012.1-1~ref2012-d020112c.97-3-AEO2012.1-1~ref2012-d020112c.98-3-AEO2012.1-1~ref2012-d020112c.99-3-AEO2012.1-1~ref2012-d020112c.100-3-AEO2012.1-1~ref2012-d020112c.101-3-AEO2012.1-1~ref2012-d020112c.102-3-AEO2012.1-1~ref2012-d020112c.105-3-AEO2012.1-1~ref2012-d020112c.106-3-AEO2012.1-1~ref2012-d020112c.107-3-AEO2012.1-1~ref2012-d020112c.108-3-AEO2012.1-1~ref2012-d020112c.112-3-AEO2012.1-1~ref2012-d020112c.113-3-AEO2012.1-1~ref2012-d020112c.114-3-AEO2012.1-1~ref2012-d020112c.115-3-AEO2012.1-1~ref2012-d020112c.116-3-AEO2012.1-1~ref2012-d020112c.117-3-AEO2012.1-1~ref2012-d020112c.118-3-AEO2012.1-1~ref2012-d020112c.119-3-AEO2012.1-1~ref2012-d020112c.120-3-AEO2012.1-1~ref2012-d020112c.121-3-AEO2012.1-1~ref2012-d020112c.122-3-AEO2012.1-1&sourcekey=0"
"Wed May 27 2026 16:35:17 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","Growth (2010-2035)"
Residual Fuel Oil,"Energy Prices: Transportation: Residual Fuel Oil": Reference case,,"2010 $/mill Btu",10.009519,8.004187,11.312127,11.483522,15.891085,17.200003,17.938751,18.235178,18.621807,18.779324,18.999376,19.202726,19.314304,19.757029,19.901287,19.850956,20.024656,19.982943,19.897116,20.069656,20.109314,20.378798,20.433365,20.481909,19.93902,20.149664,20.297495,"3.8%"
Natural Gas,"Energy Prices: Transportation: Natural Gas": Reference case,,"2010 $/mill Btu",18.159458,16.210184,15.136922,14.62232,14.629629,14.662472,14.738379,14.646727,14.569024,14.595921,14.633393,14.717226,14.899162,15.088857,15.191518,15.213838,15.304863,15.374583,15.40989,15.443217,15.48314,15.567484,15.682708,15.780214,15.865176,16.098019,16.291046,"0.0%"
Electricity,"Energy Prices: Transportation: Electricity": Reference case,,"2010 $/mill Btu",43.701355,39.277969,42.073536,42.07066,41.29924,40.039238,39.65678,39.212608,38.450768,38.002853,38.048538,38.167408,38.209816,38.558777,39.125412,39.790771,40.300892,41.255917,41.967175,42.876617,43.563099,44.04142,44.52618,45.134327,45.63924,46.540791,47.299107,"0.7%"
Electric Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distillate Fuel Oil,"Energy Prices: Electric Power: Distillate Fuel Oil": Reference case,,"2010 $/mill Btu",14.671487,18.425055,22.898487,23.069883,20.903223,22.312559,23.091194,23.449583,23.838078,24.0142,24.194727,24.49054,24.73395,24.912167,25.102364,25.302868,25.642241,25.895824,26.047167,26.246218,26.554409,26.898798,27.521015,27.866493,27.498926,27.825935,28.301157,"1.7%"
Residual Fuel Oil,"Energy Prices: Electric Power: Residual Fuel Oil": Reference case,,"2010 $/mill Btu",7.935628,9.203958,13.060365,12.580457,12.209851,13.548916,14.4206,14.834166,15.182896,15.352148,15.576987,15.759216,15.926253,16.112282,16.269455,16.322186,16.490999,16.539715,16.560692,16.738262,16.89253,17.063831,17.175243,16.818571,16.42577,16.66324,16.948551,"2.5%"
Natural Gas,"Energy Prices: Electric Power: Natural Gas": Reference case,,"2010 $/mill Btu",4.934763,5.427378,5.052288,4.728177,4.586967,4.532671,4.674669,4.625883,4.598604,4.680297,4.767356,4.906647,5.104806,5.340034,5.489988,5.559281,5.701954,5.821789,5.912815,5.993721,6.090302,6.212402,6.364498,6.497182,6.638102,6.907306,7.138476,"1.1%"
Steam Coal,"Energy Prices: Electric Power: Steam Coal": Reference case,,"2010 $/mill Btu",3.187934,3.233848,3.520918,3.586062,3.427764,3.407509,3.466059,3.434001,3.437435,3.439607,3.443181,3.424409,3.408689,3.4009,3.432295,3.448995,3.465439,3.475666,3.485898,3.517851,3.547798,3.57093,3.591088,3.616281,3.620631,3.662139,3.716128,"0.6%"
Average Price to All Users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied Petroleum Gases,"Energy Prices: Average Price to All Users: Liquefied Petroleum Gases": Reference case,,"2010 $/mill Btu",25.059431,27.053467,28.775801,28.246204,21.178635,21.777903,22.258099,21.913317,22.133215,22.221144,22.377197,22.565258,22.806679,23.132132,23.368647,23.561348,23.760361,23.926558,24.092249,24.246981,24.50856,24.769981,25.031649,25.270063,25.502535,25.846811,26.138756,"-0.1%"
E85,"Energy Prices: Average Price to All Users: E85": Reference case,,"2010 $/mill Btu",25.657961,27.903248,35.924572,34.724804,28.386139,29.761208,30.537218,30.840826,31.231316,31.375965,31.615522,31.947969,32.219536,32.358295,32.626583,32.88707,33.256943,33.4897,33.391518,33.613361,33.900784,32.675461,32.771221,33.4338,33.383308,33.551437,33.827209,"0.8%"
Motor Gasoline,"Energy Prices: Average Price to All Users: Motor Gasoline": Reference case,,"2010 $/mill Btu",19.868799,23.070896,28.766418,27.860134,28.371231,29.745581,30.521183,30.824631,31.214918,31.359495,31.598925,31.931194,32.202621,32.341305,32.609451,32.869793,33.239487,33.472122,33.373985,33.595711,33.882988,34.208801,34.695843,35.155407,34.395813,34.359646,34.650951,"1.6%"
